Date, Open, High, Low, Close
06-05-20,2883.14,2891.11,2847.65,2848.42
05-05-20,2868.88,2898.23,2863.55,2868.44
04-05-20,2815.01,2844.24,2797.85,2842.74
01-05-20,2869.09,2869.09,2821.61,2830.71
30-04-20,2930.91,2930.91,2892.47,2912.43
29-04-20,2918.46,2954.86,2912.16,2939.51
28-04-20,2909.96,2921.15,2860.71,2863.39
27-04-20,2854.65,2887.72,2852.89,2878.48
24-04-20,2812.64,2842.71,2791.76,2836.74
23-04-20,2810.42,2844.9,2794.26,2797.8
22-04-20,2787.89,2815.1,2775.95,2799.31
21-04-20,2784.81,2785.54,2727.1,2736.56
20-04-20,2845.62,2868.98,2820.43,2823.16
17-04-20,2842.43,2879.22,2830.88,2874.56
16-04-20,2799.34,2806.51,2764.32,2799.55
15-04-20,2795.64,2801.88,2761.54,2783.36
14-04-20,2805.1,2851.85,2805.1,2846.06
13-04-20,2782.46,2782.46,2721.17,2761.63
09-04-20,2776.99,2818.57,2762.36,2789.82
08-04-20,2685,2760.75,2663.3,2749.98
07-04-20,2738.65,2756.89,2657.67,2659.41
06-04-20,2578.28,2676.85,2574.57,2663.68
03-04-20,2514.92,2538.18,2459.96,2488.65
02-04-20,2458.54,2533.22,2455.79,2526.9
01-04-20,2498.08,2522.75,2447.49,2470.5
31-03-20,2614.69,2641.39,2571.15,2584.59
30-03-20,2558.98,2631.8,2545.28,2626.65
27-03-20,2555.87,2615.91,2520.02,2541.47
26-03-20,2501.29,2637.01,2500.72,2630.07
25-03-20,2457.77,2571.42,2407.53,2475.56
24-03-20,2344.44,2449.71,2344.44,2447.33
23-03-20,2290.71,2300.73,2191.86,2237.4
20-03-20,2431.94,2453.01,2295.56,2304.92
19-03-20,2393.48,2466.97,2319.78,2409.39
18-03-20,2436.5,2453.57,2280.52,2398.1
17-03-20,2425.66,2553.93,2367.04,2529.19
16-03-20,2508.59,2562.98,2380.94,2386.13
13-03-20,2569.99,2711.33,2492.37,2711.02
12-03-20,2630.86,2660.95,2478.86,2480.64
11-03-20,2825.6,2825.6,2707.22,2741.38
10-03-20,2813.48,2882.59,2734,2882.23
09-03-20,2863.89,2863.89,2734.43,2746.56
06-03-20,2954.2,2985.93,2901.54,2972.37
05-03-20,3075.7,3083.04,2999.83,3023.94
04-03-20,3045.75,3130.97,3034.38,3130.12
03-03-20,3096.46,3136.72,2976.63,3003.37
02-03-20,2974.28,3090.96,2945.19,3090.23
28-02-20,2916.9,2959.72,2855.84,2954.22
27-02-20,3062.54,3097.07,2977.39,2978.76
26-02-20,3139.9,3182.51,3108.99,3116.39
25-02-20,3238.94,3246.99,3118.77,3128.21
24-02-20,3257.61,3259.81,3214.65,3225.89
21-02-20,3360.5,3360.76,3328.45,3337.75
20-02-20,3380.45,3389.15,3341.02,3373.23
19-02-20,3380.39,3393.52,3378.83,3386.15
18-02-20,3369.04,3375.01,3355.61,3370.29
14-02-20,3378.08,3380.69,3366.15,3380.16
13-02-20,3365.9,3385.09,3360.52,3373.94
12-02-20,3370.5,3381.47,3369.72,3379.45
11-02-20,3365.87,3375.63,3352.72,3357.75
10-02-20,3318.28,3352.26,3317.77,3352.09
07-02-20,3335.54,3341.42,3322.12,3327.71
06-02-20,3344.92,3347.96,3334.39,3345.78
05-02-20,3324.91,3337.58,3313.75,3334.69
04-02-20,3280.61,3306.92,3280.61,3297.59
03-02-20,3235.66,3268.44,3235.66,3248.92
31-01-20,3282.33,3282.33,3214.68,3225.52
30-01-20,3256.45,3285.91,3242.8,3283.66
29-01-20,3289.46,3293.47,3271.89,3273.4
28-01-20,3255.35,3285.78,3253.22,3276.24
27-01-20,3247.16,3258.85,3234.5,3243.63
24-01-20,3333.1,3333.18,3281.53,3295.47
23-01-20,3315.77,3326.88,3301.87,3325.54
22-01-20,3330.02,3337.77,3320.04,3321.75
21-01-20,3321.03,3329.79,3316.61,3320.79
17-01-20,3323.66,3329.88,3318.86,3329.62
16-01-20,3302.97,3317.11,3302.82,3316.81
15-01-20,3282.27,3298.66,3280.69,3289.29
14-01-20,3285.35,3294.25,3277.19,3283.15
13-01-20,3271.13,3288.13,3268.43,3288.13
10-01-20,3281.81,3282.99,3260.86,3265.35
09-01-20,3266.03,3275.58,3263.67,3274.7
08-01-20,3238.59,3267.07,3236.67,3253.05
07-01-20,3241.86,3244.91,3232.43,3237.18
06-01-20,3217.55,3246.84,3214.64,3246.28
03-01-20,3226.36,3246.15,3222.34,3234.85
02-01-20,3244.67,3258.14,3235.53,3257.85
